;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
PRECIOS  PROMEDIO A CONSUMIDOR FINAL EN CIUDAD CAPITAL;;;;;;;;;;
;;;;;;;;;;
FECHA;Tipo de Cambio;Superior;Regular;Diesel;Bunker;Glp Cilindro 25Lbs.;;;;
;GTQ/USD;GTQ/GALON;GTQ/GALON;GTQ/GALON;GTQ/GALON;GTQ/CIL 25 LB;GTQ/LB;;;
11/jul/2022;7,74370; 39,17 ; 38,17 ; 33,88 ; 23,09 ; 122,00 ; 4,88 ;;;
12/jul/2022;7,74028; 36,56 ; 35,58 ; 31,30 ; 21,74 ; 122,00 ; 4,88 ;;;
13/jul/2022;7,73859; 36,56 ; 35,58 ; 31,30 ; 21,74 ; 122,00 ; 4,88 ;;;
14/jul/2022;7,73526; 36,56 ; 35,58 ; 31,30 ; 21,74 ; 122,00 ; 4,88 ;;;
15/jul/2022;7,73556; 36,56 ; 35,58 ; 31,30 ; 21,74 ; 122,00 ; 4,88 ;;;
16/jul/2022;7,73556; 36,56 ; 35,58 ; 31,30 ; 21,74 ; 122,00 ; 4,88 ;;;
17/jul/2022;7,73556; 36,56 ; 35,58 ; 31,30 ; 21,74 ; 122,00 ; 4,88 ;;;
18/jul/2022;7,73159; 36,56 ; 35,58 ; 31,30 ; 21,74 ; 122,00 ; 4,88 ;;;
19/jul/2022;7,72793; 33,66 ; 32,75 ; 31,01 ; 20,15 ; 122,00 ; 4,88 ;;;
20/jul/2022;7,73174; 33,66 ; 32,75 ; 31,01 ; 20,15 ; 122,00 ; 4,88 ;;;
21/jul/2022;7,72924; 33,66 ; 32,75 ; 31,01 ; 20,15 ; 122,00 ; 4,88 ;;;
22/jul/2022;7,73052; 33,66 ; 32,75 ; 31,01 ; 20,15 ; 122,00 ; 4,88 ;;;
23/jul/2022;7,73052; 33,66 ; 32,75 ; 31,01 ; 20,15 ; 122,00 ; 4,88 ;;;
24/jul/2022;7,73052; 33,66 ; 32,75 ; 31,01 ; 20,15 ; 122,00 ; 4,88 ;;;
25/jul/2022;7,72780; 33,66 ; 32,75 ; 31,01 ; 20,15 ; 122,00 ; 4,88 ;;;
26/jul/2022;7,72833; 32,69 ; 31,76 ; 29,90 ; 21,20 ; 122,00 ; 4,88 ;;;
27/jul/2022;7,73171; 32,69 ; 31,76 ; 29,90 ; 21,20 ; 122,00 ; 4,88 ;;;
28/jul/2022;7,73485; 32,69 ; 31,76 ; 29,90 ; 21,20 ; 122,00 ; 4,88 ;;;
29/jul/2022;7,73654; 32,69 ; 31,76 ; 29,90 ; 21,20 ; 122,00 ; 4,88 ;;;
30/jul/2022;7,73654; 32,69 ; 31,76 ; 29,90 ; 21,20 ; 122,00 ; 4,88 ;;;
31/jul/2022;7,73654; 32,69 ; 31,76 ; 29,90 ; 21,20 ; 122,00 ; 4,88 ;;;
01/ago/2022;7,72946; 32,69 ; 31,76 ; 29,90 ; 21,20 ; 122,00 ; 4,88 ;;;
02/ago/2022;7,72848; 32,37 ; 31,47 ; 29,37 ; 22,05 ; 122,00 ; 4,88 ;;;
03/ago/2022;7,73292; 32,37 ; 31,47 ; 29,37 ; 22,05 ; 122,00 ; 4,88 ;;;
04/ago/2022;7,73330; 32,37 ; 31,47 ; 29,37 ; 22,05 ; 122,00 ; 4,88 ;;;
05/ago/2022;7,73337; 32,37 ; 31,47 ; 29,37 ; 22,05 ; 122,00 ; 4,88 ;;;
06/ago/2022;7,73337; 32,37 ; 31,47 ; 29,37 ; 22,05 ; 122,00 ; 4,88 ;;;
