FECHA;Tipo de Cambio;Superior;Regular;Diesel;Bunker;Glp Cilindro 25Lbs.;;;;;
28/jul/2023;7,86955; 34,78 ; 33,28 ; 28,47 ; 19,44 ; 135,00 ; 5,40 ;;;;
29/jul/2023;7,86955; 34,78 ; 33,28 ; 28,47 ; 19,44 ; 135,00 ; 5,40 ;;;;
30/jul/2023;7,86955; 34,78 ; 33,28 ; 28,47 ; 19,44 ; 135,00 ; 5,40 ;;;;
31/jul/2023;7,86893; 36,28 ; 34,77 ; 29,68 ; 20,54 ; 135,00 ; 5,40 ;;;;
01/ago/2023;7,86466; 36,28 ; 34,77 ; 29,68 ; 20,54 ; 135,00 ; 5,40 ;;;;
02/ago/2023;7,86984; 36,28 ; 34,77 ; 29,68 ; 20,54 ; 135,00 ; 5,40 ;;;;
03/ago/2023;7,86853; 36,28 ; 34,77 ; 29,68 ; 20,54 ; 135,00 ; 5,40 ;;;;
04/ago/2023;7,86956; 36,28 ; 34,77 ; 29,68 ; 20,54 ; 135,00 ; 5,40 ;;;;
05/ago/2023;7,86956; 36,28 ; 34,77 ; 29,68 ; 20,54 ; 135,00 ; 5,40 ;;;;
06/ago/2023;7,86956; 36,28 ; 34,77 ; 29,68 ; 20,54 ; 135,00 ; 5,40 ;;;;
07/ago/2023;7,86202; 37,47 ; 35,97 ; 30,97 ; 19,54 ; 135,00 ; 5,40 ;;;;
08/ago/2023;7,86093; 37,47 ; 35,97 ; 30,97 ; 19,54 ; 135,00 ; 5,40 ;;;;
09/ago/2023;7,86111; 37,47 ; 35,97 ; 30,97 ; 19,54 ; 135,00 ; 5,40 ;;;;
10/ago/2023;7,86178; 37,47 ; 35,97 ; 30,97 ; 19,54 ; 135,00 ; 5,40 ;;;;
11/ago/2023;7,85770; 37,47 ; 35,97 ; 30,97 ; 19,54 ; 135,00 ; 5,40 ;;;;
12/ago/2023;7,85770; 37,47 ; 35,97 ; 30,97 ; 19,54 ; 135,00 ; 5,40 ;;;;
13/ago/2023;7,85770; 37,47 ; 35,97 ; 30,97 ; 19,54 ; 135,00 ; 5,40 ;;;;
14/ago/2023;7,85084; 37,47 ; 35,97 ; 31,89 ; 20,65 ; 135,00 ; 5,40 ;;;;
15/ago/2023;7,85084; 37,47 ; 35,97 ; 31,89 ; 20,65 ; 135,00 ; 5,40 ;;;;
16/ago/2023;7,84999; 37,47 ; 35,97 ; 31,89 ; 20,65 ; 135,00 ; 5,40 ;;;;
17/ago/2023;7,85065; 37,47 ; 35,97 ; 31,89 ; 20,65 ; 135,00 ; 5,40 ;;;;
18/ago/2023;7,85081; 37,47 ; 35,97 ; 31,89 ; 20,65 ; 135,00 ; 5,40 ;;;;
19/ago/2023;7,85081; 37,47 ; 35,97 ; 31,89 ; 20,65 ; 135,00 ; 5,40 ;;;;
20/ago/2023;7,85081; 37,47 ; 35,97 ; 31,89 ; 20,65 ; 135,00 ; 5,40 ;;;;
